HOSPITAL NAME,CITY,AREA,ADDRESS,DOCTORS,CONTACT,Lat,Long,Google Map Link
Momand Clinic,Haripur,Camp No 16,"Momand Clinic, Near Afghan Training Camp, Camp No 16, Haripur",1,3009118503,,,https://www.google.com/maps/search/?api=1&query=Momand+Clinic%2C+Near+Afghan+Training+Camp%2C+Camp+No+16%2C+Haripur
Zahra Memorial Hospital Haripur,Haripur,Circular Road,"Zahra Memorial Hospital Haripur, Main Bazar Mohalla Ferozpura, Near Doctor Plaza, Circular Road, Haripur",1,995613444,,,https://www.google.com/maps/search/?api=1&query=Zahra+Memorial+Hospital+Haripur%2C+Main+Bazar+Mohalla+Ferozpura%2C+Near+Doctor+Plaza%2C+Circular+Road%2C+Haripur
Hazara Dental Clinic,Haripur,Circular Road,"Hazara Dental Clinic, Opposite Doctor Plaza, Circular Road, Haripur",-,3025147457,,,https://www.google.com/maps/search/?api=1&query=Hazara+Dental+Clinic%2C+Opposite+Doctor+Plaza%2C+Circular+Road%2C+Haripur
Allama Iqbal Hospital Haripur,Haripur,Harbor,"Allama Iqbal Hospital Haripur, Shakar Shah Rd, Mohallah Ferozpura Mohalla Ferozpura, Harbor, Haripur",16,042-32591427,,,https://www.google.com/maps/search/?api=1&query=Allama+Iqbal+Hospital+Haripur%2C+Shakar+Shah+Rd%2C+Mohallah+Ferozpura+Mohalla+Ferozpura%2C+Harbor%2C+Haripur
Noor Surgical Hospital,Haripur,Haripur,"Noor Surgical Hospital, Gt Road Near D-Stop, Haripur, Haripur",3,-2,,,https://www.google.com/maps/search/?api=1&query=Noor+Surgical+Hospital%2C+Gt+Road+Near+D-Stop%2C+Haripur%2C+Haripur
Alhashmi Clinic,Haripur,Haripur,"Alhashmi Clinic, Near Dhq Hospital, Haripur, Haripur",-,3025269788,,,https://www.google.com/maps/search/?api=1&query=Alhashmi+Clinic%2C+Near+Dhq+Hospital%2C+Haripur%2C+Haripur
Chaudhary Medical Center (Haripur),Haripur,Haripur,"Chaudhary Medical Center (Haripur), Near Post Graduate College, Naseem Town, Haripur, Haripur",-,3355101573,,,https://www.google.com/maps/search/?api=1&query=Chaudhary+Medical+Center+%28Haripur%29%2C+Near+Post+Graduate+College%2C+Naseem+Town%2C+Haripur%2C+Haripur
Dr. Ouun Ali Hospital,Haripur,Haripur,"Dr. Ouun Ali Hospital, Ghazanfar House, Fort Road, Haripur, Haripur",1,3459686916,,,https://www.google.com/maps/search/?api=1&query=Dr.+Ouun+Ali+Hospital%2C+Ghazanfar+House%2C+Fort+Road%2C+Haripur%2C+Haripur
Family Homoeopathic Clinic,Haripur,Haripur,"Family Homoeopathic Clinic, Jameel Plaza ,Azam Chowk ,Sec #2, Kts, Haripur, Haripur",1,3156317422,,,https://www.google.com/maps/search/?api=1&query=Family+Homoeopathic+Clinic%2C+Jameel+Plaza+%2CAzam+Chowk+%2CSec+%232%2C+Kts%2C+Haripur%2C+Haripur
Medikay Cardiac Center,Haripur,Haripur,"Medikay Cardiac Center, Ali Khan, Near Bandhan Shadi Hall, Haripur, Haripur",-,4232591427,,,https://www.google.com/maps/search/?api=1&query=Medikay+Cardiac+Center%2C+Ali+Khan%2C+Near+Bandhan+Shadi+Hall%2C+Haripur%2C+Haripur
Siddiqui Health Services (Unani Clinic And Hijamah Center),Haripur,Haripur,"Siddiqui Health Services (Unani Clinic And Hijamah Center), Tip Barrier Stop, Haripur, Haripur",1,3339291797,,,https://www.google.com/maps/search/?api=1&query=Siddiqui+Health+Services+%28Unani+Clinic+And+Hijamah+Center%29%2C+Tip+Barrier+Stop%2C+Haripur%2C+Haripur
Ibne Seena Hospital Khalabat,Haripur,Khalabat Twp,"Ibne Seena Hospital Khalabat, 2W96+4Gc, Sector 02, Khalabatt Twp, Khalabat Twp, Haripur",1,995622022,,,https://www.google.com/maps/search/?api=1&query=Ibne+Seena+Hospital+Khalabat%2C+2W96%2B4Gc%2C+Sector+02%2C+Khalabatt+Twp%2C+Khalabat+Twp%2C+Haripur
Asghar General Hospital And Maternity Home,Haripur,Khalabat Twp,"Asghar General Hospital And Maternity Home, Chowk Main Rd, Sector 2 Khalabatt Twp, Khalabat Twp, Haripur",1,(0995) 620343,,,https://www.google.com/maps/search/?api=1&query=Asghar+General+Hospital+And+Maternity+Home%2C+Chowk+Main+Rd%2C+Sector+2+Khalabatt+Twp%2C+Khalabat+Twp%2C+Haripur
Mumtaz General Hospital Haripur,Haripur,Khyber Pakhtunkhwa,"Mumtaz General Hospital Haripur, Dhendha Road, Darvesh Haripur,, Khyber Pakhtunkhwa, Haripur",1,3155361898,,,https://www.google.com/maps/search/?api=1&query=Mumtaz+General+Hospital+Haripur%2C+Dhendha+Road%2C+Darvesh+Haripur%2C%2C+Khyber+Pakhtunkhwa%2C+Haripur
Al Jadoon Medical Center Ghazi,Haripur,Khyber Pakhtunkhwa,"Al Jadoon Medical Center Ghazi, Zubaida Amaan Government Girls College Road Ghazi Haripur,, Khyber Pakhtunkhwa, Haripur",1,3425610110,,,https://www.google.com/maps/search/?api=1&query=Al+Jadoon+Medical+Center+Ghazi%2C+Zubaida+Amaan+Government+Girls+College+Road+Ghazi+Haripur%2C%2C+Khyber+Pakhtunkhwa%2C+Haripur
Haripur International Hospital,Haripur,Khyber Pakhtunkhwa,"Haripur International Hospital, Tarbela, Gheel Rd, Khyber Pakhtunkhwa, Haripur",-,995628324,,,https://www.google.com/maps/search/?api=1&query=Haripur+International+Hospital%2C+Tarbela%2C+Gheel+Rd%2C+Khyber+Pakhtunkhwa%2C+Haripur
Bashir Dental Clinic,Haripur,Kpk,"Bashir Dental Clinic, Sanaullah Surgical, Doctor Plaza, Haripur, Kpk, Haripur",1,3345084888,,,https://www.google.com/maps/search/?api=1&query=Bashir+Dental+Clinic%2C+Sanaullah+Surgical%2C+Doctor+Plaza%2C+Haripur%2C+Kpk%2C+Haripur
Akbar Heart And Family Care Hospital,Haripur,Malkiyar More,"Akbar Heart And Family Care Hospital, Opposite To Govt School No 4, Malkiyar More, Haripur",1,3325097101,,,https://www.google.com/maps/search/?api=1&query=Akbar+Heart+And+Family+Care+Hospital%2C+Opposite+To+Govt+School+No+4%2C+Malkiyar+More%2C+Haripur
Faizan Skin Care Clinic,Haripur,Mohalla Asifabad,"Faizan Skin Care Clinic, Sheranwalagate Chowk, Mohalla Asifabad, Haripur",1,0333 1481486,,,https://www.google.com/maps/search/?api=1&query=Faizan+Skin+Care+Clinic%2C+Sheranwalagate+Chowk%2C+Mohalla+Asifabad%2C+Haripur
Faisal Dental Clinic,Haripur,Mohalla Asifabad,"Faisal Dental Clinic, Muhalla Asifabaad Near Madni Masjid, Adda Darband, Mohalla Asifabad, Haripur",-,3135943982,,,https://www.google.com/maps/search/?api=1&query=Faisal+Dental+Clinic%2C+Muhalla+Asifabaad+Near+Madni+Masjid%2C+Adda+Darband%2C+Mohalla+Asifabad%2C+Haripur
Mehar General Hospital & Maternity Home,Haripur,Mohalla Qadeem,"Mehar General Hospital & Maternity Home, Gpo Road Dak-Khana Rd, Mohalla Qadeem, Haripur",2,(0995) 611404,,,https://www.google.com/maps/search/?api=1&query=Mehar+General+Hospital+%26+Maternity+Home%2C+Gpo+Road+Dak-Khana+Rd%2C+Mohalla+Qadeem%2C+Haripur
Realx Clinic,Haripur,New Dahar Colony,"Realx Clinic, Main Road, New Dahar Colony, Haripur",-,3013438782,,,https://www.google.com/maps/search/?api=1&query=Realx+Clinic%2C+Main+Road%2C+New+Dahar+Colony%2C+Haripur
Alhashmi Hospital Dr Jamil Ahmed Hashmi,Haripur,Saddar Bazar,"Alhashmi Hospital Dr Jamil Ahmed Hashmi, Saddar Bazar Railway Road Talokar, Saddar Bazar, Haripur",1,3009885511,,,https://www.google.com/maps/search/?api=1&query=Alhashmi+Hospital+Dr+Jamil+Ahmed+Hashmi%2C+Saddar+Bazar+Railway+Road+Talokar%2C+Saddar+Bazar%2C+Haripur
Wapda Hospital Tarbela Dam,Haripur,Tarbela,"Wapda Hospital Tarbela Dam, Sobra City, Tarbela, Haripur",-,(0995) 350039,,,https://www.google.com/maps/search/?api=1&query=Wapda+Hospital+Tarbela+Dam%2C+Sobra+City%2C+Tarbela%2C+Haripur
Razz Dan ( Centre For Mental Health Support & Wellbeing ),Hyderabad,Opposite Police Station Defence A On Ghazi Road,"Razz Dan ( Centre For Mental Health Support & Wellbeing ), A/4 Block D Latifabad Unit 6, (Opposite Police Station Defence A On Ghazi Road), Hyderabad",1,223402257,,,https://www.google.com/maps/search/?api=1&query=Razz+Dan+%28+Centre+For+Mental+Health+Support+%26+Wellbeing+%29%2C+A%2F4+Block+D+Latifabad+Unit+6%2C+%28Opposite+Police+Station+Defence+A+On+Ghazi+Road%29%2C+Hyderabad
Sehat Maternity And Child Hospital,Hyderabad,Opposite Police Station Defence A On Ghazi Road,"Sehat Maternity And Child Hospital, Abdullah Sports City Qasimabad, (Opposite Police Station Defence A On Ghazi Road), Hyderabad",3,3337061260,,,https://www.google.com/maps/search/?api=1&query=Sehat+Maternity+And+Child+Hospital%2C+Abdullah+Sports+City+Qasimabad%2C+%28Opposite+Police+Station+Defence+A+On+Ghazi+Road%29%2C+Hyderabad
